,Compound_Score,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Time,Tweets,Tweets_Ago
0,0.0,0.0,1.0,0.0,BBC,2018-04-09 16:26:04+00:00,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉 https://t.co/3UaLSod6e6 https://t.co/Zj7me79rnt",1
1,0.6239,0.0,0.494,0.506,BBC,2018-04-09 16:04:04+00:00,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU,2
2,0.4003,0.0,0.856,0.144,BBC,2018-04-09 15:42:30+00:00,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,3
3,0.5411,0.0,0.811,0.189,BBC,2018-04-09 15:29:26+00:00,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",4
4,0.5267,0.0,0.793,0.207,BBC,2018-04-09 15:07:08+00:00,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",5
5,0.5267,0.0,0.855,0.145,BBC,2018-04-09 14:02:03+00:00,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉 https://t.co/0sffMmoBnO https://t.co/ZGNA7FYmPc",6
6,0.4404,0.0,0.707,0.293,BBC,2018-04-09 13:01:05+00:00,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",7
7,0.0,0.0,1.0,0.0,BBC,2018-04-09 12:31:27+00:00,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,8
8,0.0,0.0,1.0,0.0,BBC,2018-04-09 12:28:16+00:00,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",9
9,0.34,0.0,0.888,0.112,BBC,2018-04-09 12:14:30+00:00,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",10
10,0.6705,0.0,0.792,0.208,BBC,2018-04-09 12:12:54+00:00,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",11
11,0.0,0.0,1.0,0.0,BBC,2018-04-09 12:02:02+00:00,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,12
12,0.0,0.0,1.0,0.0,BBC,2018-04-09 11:50:07+00:00,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",13
13,-0.2023,0.098,0.833,0.068,BBC,2018-04-09 11:27:01+00:00,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,14
14,0.6757,0.083,0.649,0.268,BBC,2018-04-09 11:16:03+00:00,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉 https://t.co/tBohCcpc96 https://t.co/Qj4SWeh43c",15
15,0.0,0.0,1.0,0.0,BBC,2018-04-09 10:41:24+00:00,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",16
16,0.0,0.0,1.0,0.0,BBC,2018-04-09 08:56:59+00:00,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,17
17,-0.3252,0.109,0.891,0.0,BBC,2018-04-09 08:40:53+00:00,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",18
18,0.0,0.0,1.0,0.0,BBC,2018-04-09 08:01:01+00:00,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",19
19,-0.3182,0.095,0.905,0.0,BBC,2018-04-09 07:27:04+00:00,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered. 
👉 https://t.co/6qaEY6GuI1

#Civilisations https://t.co/jM4IkHXitm",20
20,0.0,0.0,1.0,0.0,BBC,2018-04-09 07:00:14+00:00,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,21
21,0.0,0.0,1.0,0.0,BBC,2018-04-08 19:02:05+00:00,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",22
22,0.4939,0.0,0.686,0.314,BBC,2018-04-08 18:03:03+00:00,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,23
23,0.25,0.088,0.765,0.147,BBC,2018-04-08 17:25:08+00:00,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",24
24,0.0,0.0,1.0,0.0,BBC,2018-04-08 17:07:02+00:00,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",25
25,0.0,0.0,1.0,0.0,BBC,2018-04-08 16:40:55+00:00,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",26
26,-0.2263,0.106,0.894,0.0,BBC,2018-04-08 16:07:03+00:00,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,27
27,0.0,0.0,1.0,0.0,BBC,2018-04-08 15:31:00+00:00,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confirmed. 👏

Catch up on the Young Musician 2018 strings final on BBC iPlayer now. 👉https://t.co/37lz1Ip1m5 https://t.co/ZF8BmJjANr",28
28,0.0,0.0,1.0,0.0,BBC,2018-04-08 15:11:04+00:00,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",29
29,-0.2023,0.189,0.811,0.0,BBC,2018-04-08 13:54:07+00:00,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,30
30,0.875,0.0,0.607,0.393,BBC,2018-04-08 13:23:39+00:00,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",31
31,0.2732,0.0,0.488,0.512,BBC,2018-04-08 13:03:04+00:00,😂 'Surprise me'. https://t.co/Jo7illTafh,32
